carnumber,carpart,miles,milestwo,milesthree,,,,,,,,,
1,Coolant,60000,200,40000,,,,,,,,,
2,Septentine Belt,60000,200,40000,,,,,,,,,
3,Water Pump,100000,200,60000,,,,,,,,,
4,Timing Belt,100000,200,60000,,,,,,,,,
5,Alternator,100000,200,40000,,,,,,,,,
6,Air Filter,15000,200,12000,,,,,,,,,
7,Oil,10000,200,5000,,,,,,,,,
8,Oil Filter,10000,200,5000,,,,,,,,,
9,Sparkplugs,60000,200,20000,,,,,,,,,
10,Ignition Wires,60000,200,50000,,,,,,,,,
11,Brake Pads,50000,200,30000,,,,,,,,,
12,Brake Rotors,70000,200,50000,,,,,,,,,
13,Tires,50000,200,25000,,,,,,,,,
14,Struts,100000,200,50000,,,,,,,,,
15,Clutch,150000,200,50000,,,,,,,,,
16,Fuel Filter,30000,200,25000,,,,,,,,,
17,Fuel Pump,150000,200,100000,,,,,,,,,
18,Differential Fluid,50000,200,30000,,,,,,,,,
